Frame,Iris Dilation,Pupil Dilation,Ratio,Processed Iris Dilation,Processed Pupil Dilation,Processed Ratio
189,150.61473083496094,49.0,0.32533,150.61473083496094,49.0,0.32533
190,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
191,150.6146697998047,49.5,0.32865,150.6146697998047,49.5,0.32865
192,150.6146697998047,49.5,0.32865,150.6146697998047,49.5,0.32865
193,150.61468505859375,50.5,0.33529,150.61468505859375,50.5,0.33529
194,150.6147003173828,51.0,0.33861,150.6147003173828,51.0,0.33861
195,150.6147003173828,51.0,0.33861,150.6147003173828,51.0,0.33861
196,150.6147003173828,51.0,0.33861,150.6147003173828,51.0,0.33861
197,150.6147003173828,51.0,0.33861,150.6147003173828,51.0,0.33861
198,150.6147003173828,51.0,0.33861,150.6147003173828,51.0,0.33861
199,150.61471557617188,51.0,0.33861,150.61471557617188,51.0,0.33861
200,150.61471557617188,50.5,0.33529,150.61471557617188,50.5,0.33529
201,150.61471557617188,51.0,0.33861,150.61471557617188,51.0,0.33861
202,150.61471557617188,51.5,0.34193,150.61471557617188,51.5,0.34193
203,150.61471557617188,52.0,0.34525,150.61471557617188,52.0,0.34525
204,150.61471557617188,52.5,0.34857,150.61471557617188,52.5,0.34857
205,150.61471557617188,52.5,0.34857,150.61471557617188,52.5,0.34857
206,150.61471557617188,52.0,0.34525,150.61471557617188,52.0,0.34525
207,150.61471557617188,51.5,0.34193,150.61471557617188,51.5,0.34193
208,150.61471557617188,51.5,0.34193,150.61471557617188,51.5,0.34193
209,150.61471557617188,51.0,0.33861,150.61471557617188,51.0,0.33861
210,150.61471557617188,50.5,0.33529,150.61471557617188,50.5,0.33529
211,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
212,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
213,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
214,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
215,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
216,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
217,150.61471557617188,48.5,0.32201,150.61471557617188,48.5,0.32201
218,150.61471557617188,48.5,0.32201,150.61471557617188,48.5,0.32201
219,150.61471557617188,48.5,0.32201,150.61471557617188,48.5,0.32201
220,150.61471557617188,48.5,0.32201,150.61471557617188,48.5,0.32201
221,150.61471557617188,49.0,0.32533,150.61471557617188,49.0,0.32533
222,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
223,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
224,150.61471557617188,49.5,0.32865,150.61471557617188,49.5,0.32865
